Samedi	周六
voudrais	想要(vouloir的条件式第一人称单数形式)
études	学习(复数)
Emmanuel	埃马纽埃尔
Le 8 février	"2月8号"
C'est mon anniversaire	这是我的生日。
soixante-deux	六十二
Je vais avoir 62 ans	我62岁了。
étais	是(être的过去式第一人称单数形式)
professeur	教师
J'étais professeur	我是老师。
maintenant	现在
retraite	退休(名词)
et maintenant je suis à la retraite	现在我退休了。
tes	你的(复数)
grands-parents	祖父母
tes grands-parents aussi	你的祖父母也是。
soixante	六十
soixante-dix	七十
quatre-vingts	八十
J'habite à Paris	我住在巴黎。
J'ai habité	我曾经住过(过去完成时)
mois	月(复数)
un mois	一个月
J'ai habité à Shanghaï pendant 11 mois en 2018	"2018年我在上海住了11个月。"
voyagé	旅行(法语动词 “voyager” 的过去分词)
J'ai beaucoup voyagé	我旅行了很多。
voulais	想要(vouloir的过去式第一人称单数形式)
vivre	生活
vivre un peu en Chine	在中国生活一段时间
pour	为了(引导目的状语从句)
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
J'ai des amis en Chine	我在中国有朋友。
je suis allé à Shanghaï	我去了上海。
vais	去(aller的现在式第一人称单数形式)
Je vais	“我将要” “aller + 动词原形” 构成最近将来时,表示即将或打算做某事。
Je vais te présenter le cours	我给你介绍一下这门课。
Pourquoi tu prends des cours avec moi	你为什么跟我上课?
Je ne parle pas très bien français	我的法语说得不太好。
partie	部分(名词)
En deux parties	分两部分
première	第一(形容词)
1ère partie	第一部分
nouvelles	新闻(复数)
les nouvelles	新闻
dis	告诉(dire的现在式第二人称单数形式)
Tu me dis 2 nouvelles	你告诉我两个新闻。
Je te dis 2 nouvelles	我告诉你两个新闻。
allée	去(aller的过去分词,女性)
Je suis allée	我去了(aller的过去分词,女性)
fois	次(复数)(名词)(f)
une fois	一次(f)
Cette semaine je suis allé au cinéma 4 fois	这周我去了4次电影院。
roi	国王
Je suis le roi en janvier	我是一月的国王。
sais	知道(savoir的现在式第二人称单数形式)
Tu sais pourquoi	你知道为什么吗?
on mange	人们吃(第三人称单数)
un gâteau spécial	一种特别的蛋糕
qui s'appelle la galette des rois	关系从句,用来修饰先行词 “gâteau”。“qui” 是关系代词,在从句中作主语,指代前面的 “gâteau”
des	一些(复数)(de + les = des)
la galette des rois	国王蛋糕
En France, en janvier, on mange un gâteau spécial qui s'appelle la galette des rois	在法国,一月份,我们吃一种特别的蛋糕,叫做国王蛋糕。
déjà	已经
mangé	吃(manger的过去分词)(与 “as” 一起构成复合过去时,表示 “吃过” 。)
Tu as déjà mangé	你已经吃过(“avoir déjà + 过去分词” 构成复合过去时的一种形式,“déjà” 表示 “已经” )
Tu as déjà mangé de la galette des rois	你吃过国王蛋糕了吗?
peux	能(pouvoir的现在式第一人称单数形式)
Tu peux en acheter à Shanghai	你可以在上海买到。(en:代替前面提到的 “galette des rois” 中的部分内容,作宾语。)
maman	妈妈(名词)
Maman va acheter une galette	妈妈要买一个蛋糕。(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事。)
On travaille un peu	我们有点工作。
si	是否,连接 “我不知道” 的内容
que	连接词,引导宾语从句(引出 “你知道” 的具体内容)
un examen de français	一次法语考试
en mai 2025	在2025年5月
je ne sais pas si tu sais que tu vas passer un examen de français en mai 2025	我不知道你是否知道你将在2025年5月参加法语考试。
Comment s'appelle l'examen	这次考试叫什么名字?
DELF A2	法语语言能力考试A2级
Les nouvelles de cette semaine	本周新闻
vu	看见(voir的过去分词)
un film américain	一部美国电影
J'ai vu un film américain chez moi	我在家看了一部美国电影。
acteurs	演员(复数)
C'est un film français mais avec des acteurs américains	这是一部法国电影,但是演员是美国人。
réalisatrice	导演(女性)
l'argent	钱,资金(名词)
La réalisatrice est française et l'argent aussi	导演是法国人,资金也是。
fait peur	吓人(动词 “faire”(做)和名词 “peur”(恐惧)构成动词短语,表示 “吓人” )
ça fait peur ce film	这部电影很吓人。
hiver	冬天
d'hiver	冬季的(“de” 在这里表示所属关系)
Je suis maintenant en vacances d'hiver	我现在放寒假。
être en vacances	放假
Tu es contente	你高兴吗?
Je suis très contente	我很高兴。
tu vas faire	你将要做(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事;“faire” 是动词原形,意为 “做” )
Qu'est-ce que tu vas faire pendant les vacances	你放假时要做什么?
Je vais avoir des cours de maths, de français et de physique	我将要上数学、法语和物理课。
Je vais voyager avec mes grands-parents	我将和我的祖父母一起旅行。
Vous allez aller où	你们要去哪里?
encore	还(副词)
On ne sait pas encore	我们还不知道。
restent	停留,留下;保持(rester的第三人称复数形式)
Tes parents restent à Shanghaï	你的父母在上海。
terminée	结束了(过去分词)(与 “la leçon” 一起构成动词短语,表示 “课程结束了” )
Camille, la leçon est terminée	卡米尔,课程结束了。
Ton nom de famille en chinois c'est Ji	你的中文姓氏是吉。
Ton prénom chinois c'est Lichen	你的中文名字是李晨。
Tu as un prénom français c'est Camille	你有一个法国名字,叫卡米尔。
Se présenter	介绍自己
se présenter en français	用法语介绍自己
Présenter le cours	介绍课程(Présenter + le + 名词,表示 “介绍某个东西” )
appris	学习(apprendre的过去分词)
Où est-ce que tu as appris le français	你在哪里学的法语?
J'ai appris le français au lycée Ganquan	我在甘泉中学学的法语。
Cette année tu apprends le français	今年你在学法语。
Je suis en seconde au lycée Ganquan	我在甘泉中学读高一。
Est-ce que tu aimes ça le français au lycée	你喜欢在学校学法语吗?
premier	第一(形容词)(1er)
Ce cours c'est le 1er cours	这是第一节课。
l'on	人称代词“on”(我们)
va faire	将要做(“aller + 动词原形” 构成最近将来时,表示即将要做的动作;“faire” 是动词原形,意为 “做” )
Qu'est-ce que l'on va faire	我们要做什么?
Ta mère est en cours avec nous	你母亲和我们一起在上课(“être en cours” 表示 “在上课” )
te	你(间接宾语人称代词)表示动作 “présenter(介绍)” 的对象。
allé	去(aller的过去分词)
au	在; 到(à + le = au)
La seconde	高一
La première	高二
La terminale	高三
Je suis en la seconde	我在读高一。
Elle est en la terminale	她在读高三。
Vendredi	(星期五)
Vendredi 24 janvier 2025	“2025 年 1 月 24 日,星期五”
Il en reste 14	还剩下 14 个
Je vais te présenter le DELF A2	我将向你介绍 DELF A2(法语等级考试)
C'est un examen de français	这是一项法语考试。
4 parties	"4部分"
écouter	听
lire	读
écrire	写(ECRIRE)
parler	说
Regarder les examens blancs,il y en a 4	看看这些空白试卷,有 4 个
choisir	选择(原形)
Je choisis un sujet	我选择一个主题(题目)
Tu choisis un sujet	你选择一个主题(题目)
Il choisit un sujet	他选择一个主题(题目)
Nous choisissons un sujet	我们选择一个主题(题目)
Vous choisissez un sujet	你们选择一个主题(题目)
Ils choisissent un sujet	他们选择一个主题(题目)
exprimer	表达(原形)
exprimez-vous	表达你们自己
sur	关于;在......上
Vous vous exprimez sur le sujet	你们表达关于这个主题的看法
L'examinateur	考官(阳性名词)
pouvoir	能够(原形)
ensuite	然后,接着
poser	提出(原形)
poser des questions	提出问题
complémentaires	补充的
L'examinateur peut ensuite vous poser des questions complémentaires	考官随后可能会向你提出一些补充性问题
SUJET 1	主题 1
Les saisons	季节(阴性名词)
En France, il y a 4 saisons	在法国,有 4 个季节
préférée	最喜欢的(阴性形容词)
préféré	最喜欢的(阳性形容词)
Quelle est votre saison préférée	“您最喜欢的季节是哪个?”
Pourquoi	为什么?
en général	通常(副词),作状语
Je fais du sport en général	通常我做运动
Que faites-vous en général pendant cette saison	通常在这个季节你们做什么?
Ma saison préférée c'est l'automne	我最喜欢的季节是秋天
cool	酷(形容词)
le temps qu'il fait	“它所呈现的天气”(“qu'il fait” 是一个关系从句,用来修饰 “le temps”)
en automne	在秋天
agréable	“宜人的、舒适的”(形容词)
C'est cool parce que le temps qu'il fait en automne à Shanghai est agréable	这很棒,因为上海秋天的天气很宜人。
trop	副词,意为 “太,过于”
chaud	热的(形容词)
Il ne fait pas trop chaud	“天气不是太热”
froid	冷的(形容词)
il ne fait pas trop froid	“天气不是太冷”
il ne pleut pas beaucoup en automne	“秋天不常下雨”
ramasser	捡起(动词)
Je ramasse	我捡起(第一人称单数)
feuilles	树叶(阴性名词)
Je ramasse les feuilles en automne et j'aime ça	我在秋天捡树叶,而且我喜欢这样做(ça:指示代词,指代前面提到的 “ramasse les feuilles en automne(在秋天捡树叶)” 这件事,作 “aime” 的宾语 )
SUJET 2	主题 2
L'habitat	阳性名词,居住环境
Comment est votre chambre	“你的房间怎么样?”
Où est-elle dans la maison	“它在房子里的哪里?”
dedans	在里面(副词)
Qu'est-ce qu'il y a dedans	“里面有什么?”
décorer	装饰(动词原形)
décorée	装饰的(过去分词)
Comment est-elle décorée	“它(阴性)是如何装饰的?”(“être + 过去分词” 的被动语态结构中,表示 “被装饰”   )
J'habite dans un appartement à Shanghai, j'ai ma chambre.	我住在上海的一个公寓里,我有自己的房间。
Ma chambre est petite	我的房间很小
Il y a un lit, un bureau, une lampe, deux étagères, une chaise, deux fenêtres, un ordinateur.	我的房间里有一张床,一张书桌,一盏灯,两个架子,一把椅子,两个窗户,一台电脑。
canapé	沙发(阳性名词)
Il y a aussi un canapé	还有一张沙发。
J'aime bien ma chambre	我很喜欢我的房间。
J'aime bien voyager	我很喜欢旅行。
En Chine, j'ai voyagé à Pékin	在中国,我去过北京。
Thaïlande	泰国(阴性名词)
Corée	韩国(阴性名词)
Japon	日本(阳性名词)
A l'étranger, j'ai voyagé en Thaïlande, en Corée, au Japon	在国外,我去过泰国,韩国,日本。
aimerais	是动词 aimer(喜欢)的条件式现在时,表示一种愿望或礼貌语气,翻译为“想”或“希望”。(原形:aimer)
J'aimerais voyager en France	我想去法国旅行。
Je vais bien	我很好
aller bien	意为“身体健康,情况良好”
mal	是副词,意思是“不好”或“糟糕”。
aller mal	意为“身体不舒服,情况不好”
Est-ce que tes parents vont bien	你父母身体好吗?
Mes parents vont bien	我父母身体好。
Est-ce qu'il fait beau à Shanghai	上海天气好吗?
Oui, il fait beau à Shanghai	是的,上海天气好。
Non, il ne fait pas beau à Shanghai	不,上海天气不好。
Est-ce qu'il fait froid à Shanghai	上海天气冷吗?
ça va, il ne fait pas trop froid à Shanghai	还好,上海天气不是太冷。
Est-ce qu'il pleut à Shanghai	上海下雨吗?
Non, il ne pleut pas à Shanghai	不,上海不下雨。
tempête	意为“暴风雨”;风暴(阴性名词)
Non, il y a une tempête à Paris	不,巴黎有暴风雨。
un peu	副词,意为“一点儿”
oui, il pleut à Paris	是的,巴黎下雨。
Je fais	我做(第一人称单数)
Qu'est-ce que tu as fait aujourd'hui	你今天做了什么?
un cours de maths et un cours de physique	一节数学课和一节物理课
c'est tout	就这些
devoirs	作业(阳性名词)
j'ai aussi fait mes devoirs	我还做了作业
ses	是 il/elle(他/她)的所有格形容词,表示“他的/她的/它的”。
faire ses devoirs	做作业
Est-ce que tu es sortie aujourd'hui	你今天出去了吗?
sortir	出去 出门
Je sors	我出去(第一人称单数)
Tu sors	你出去
Il sort	他出去
Nous sortons	我们出去
Vous sortez	你们出去
Ils sortent	他们出去
restée	是动词 rester(呆,停留)的过去分词。由于主语是女性单数形式,所以过去分词 resté 变为 restée,表示女性主语。
je suis restée à la maison	我呆在家里(第一人称单数)
A Paris, il est 13h10	巴黎现在是13点10分"treize heures dix"
Je suis sorti aujourd'hui	我今天出去了
Je suis allé faire du sport	我去做运动了
Je suis allé au cinéma à 10h15	我10点15分去看电影"dix heures quinze"
Mes parents ont travaillé aujourd'hui	我父母今天工作了
Ils étaient	是动词 être(是)的 第三人称复数 未完成过去时(imparfait)变位,表示“他们在...”。
toute	副词,意为“整个”(toute la journée:整天)
Ils étaient à la maison toute la journée	他们一整天都在家
est sorti	是动词 sortir(出去)的过去分词形式,使用 être 作为助动词。
Mon père est sorti	我父亲出去了
Ma mère est allée à l'hôpital	我母亲去医院了
Ma grand-mère est malade	我奶奶生病了
la tête	是“头”(阴性名词)
Ma grand-mère a mal à la tête	我奶奶头疼
avoir mal à la tête	头疼
dents	是“牙齿”(阴性名词)
avoir mal aux dents	牙疼
ventre	是“肚子”(阳性名词)
avoir mal au ventre	肚子疼
je suis allée deux fois à l'hôpital	我去了两次医院
peau	皮肤(阴性)
j'avais des problèmes de peau	我有皮肤问题
J'ai la peau douce	我的皮肤很嫩
ça va maintenant	现在好了吗?
avoir des allergies	过敏(des 是不定冠词的复数形式,表示一些)
mardi, je suis sortie avec mes trois amies	星期二,我和我的三个朋友一起出去。
où est-ce que vous êtes allée	你们去哪里了?
faire du shopping	逛街购物
Tu as acheté quelque chose	你买了什么?
j'ai acheté une glace	我买了一个冰淇淋
sortie	是动词 sortir(出去)的复合过去时形式
Tu es sortie à quelle heure mardi	星期二你几点出去的?
Je suis sortie à 13h30	我13点30分出去的 "treize heures trente"
tu es rentrée à 17h00	你17点回来的"dix-sept heures"
Pour fêter	:表示“为了庆祝”,pour 是介词,表示“为了”,fêter 是动词 (庆祝)的原形。
le nouvel an chinois	:表示“中国新年”,nouvel an 是“新年”,chinois 表示“中文的,或中国的”。
les chinois	:表示“那些中国人”,les 是定冠词复数形式,chinois 是形容词,也可以作为名词,指代“中国人”。
qui vivent à Paris	:表示“住在巴黎的”,qui 是关系代词,vivent 是动词 vivre(生活,居住)的第三人称复数形式,表示“他们生活”。
mettre	:是动词(放置,挂)的原形。
ont mis	:是动词 mettre(放置,挂)的复合过去时形式,使用 avoir 作为助动词,表示“他们放了”。
des lanternes	:表示“灯笼”,des 是不定冠词的复数形式,表示一些,lanternes 是名词的复数形式。
Pour fêter le nouvel an chinois, les chinois qui vivent à Paris on mis des lanternes	为了庆祝中国新年,住在巴黎的中国人挂了灯笼。
Le nouvel an chinois	春节
C'est bientôt	:表示“快到了”,bientôt 是副词,表示“很快,马上”。
C'est bientôt, le nouvel an chinois	很快就是中国新年了。
C'est quand	是什么时候?
Le nouvel an chinois, c'est le mardi 28 janvier 2025	中国新年是2025年1月28日星期二。
L'année du serpent	蛇年
un serpent	一条蛇(阳性名词)
lapin	兔子(阳性名词)
Moi je suis lapin et toi	我是兔子,你呢?
bœuf	牛(阳性名词)
Camille est bœuf	卡米尔是牛
quartier	街区(阳性名词)
quartier chinois	:表示“华人区”,quartier 是名词,表示“区,街区”,chinois 是形容词,表示“中国的”。
J'habite près du 2e quartier chinois de Paris	我住在巴黎第二个中国区附近。deuxième 是形容词,表示“第二”。
Qu'est-ce que l'on fait dans le quartier chinois de Belleville	在贝尔维尔的中国区我们做什么?
on va faire les courses	我们去买东西
on va au restaurant	我们去餐馆
la danse des lions	:表示“舞狮表演”,danse 是“舞蹈”的名词,des lions 是“狮子们”的复数形式。
Samedi, il y a la danse des lions à Belleville	星期六,在贝尔维尔有舞狮表演。
Tu aimes ça la danse des lions	你喜欢舞狮表演吗?
qui dansent	:表示“跳舞”,qui 是关系代词,指代“女孩”,dansent 是动词 danser(跳舞)的第三人称复数形式。
Est-ce qu'il y a des filles qui dansent la danse des lions	有没有女孩子在跳舞?
mes nouvelles	:表示“我的消息”,mes 是物主代词,表示“我的”,nouvelles 是阴性名词,表示“消息”。
Est-ce qu'il y a des questions sur mes nouvelles	有关于我的消息的问题吗?
présenter	介绍(动词); 介绍(原形)
pendant	在...期间; 在......期间
faire	做; 做(原形)
J'apprends le français parce que je voudrais faire mes études en France	我在学法语,因为我想在法国学习。; 我学习法语是因为我想在法国读书。
pleuvoir	下雨(动词); 下雨(动词原形)
il pleut	下雨(动词)(其中 “il” 是无人称主语,表示天气,“pleut” 是动词 “pleuvoir(下雨)” 的第三人称单数变位形式); :意思是“下雨”,动词 pleuvoir 的第三人称单数形式,专用于描述天气。
Tu fais	你做
Il fait	他做
Nous faisons	我们做
Vous faites	你们做
Ils font	他们做
fait	是动词 faire(做)的 过去分词,用于复合时态,表示“做了”。(原形:faire)
rester	剩下; 原形,意为“留下,待在”
Mille	千
Samedi 25 janvier 2025	“2025 年 1 月 25 日,星期六”
Le premier jour de l'année du serpent c'est quand	蛇年的第一天是在什么时候?
mercredi	星期三
Emmanuel c'est mercredi 29 janvier, le premier jour de l'année du serpent	“伊曼纽尔,1 月 29 日星期三,是蛇年的第一天”
Taiwanais	台湾人; 台湾的
Les Taiwanais mangent du lapin	台湾人吃兔肉
Le mardi 28 tu vas faire quoi	周二(28 号)你打算做什么?
soir	晚上
Le soir, je vais manger avec ma famille	晚上,我要和家人一起吃饭。
Le mercredi 29 tu vas faire quoi	"29 号星期三你打算做什么?"
sûrement	肯定地,一定地(adv)
Je vais sûrement aller au cinéma avec ma mère et mon père	我肯定会和我的爸爸妈妈一起去看电影。
nouvel an chinois	中国新年(“nouvel” 是 “nouveau”(新的)修饰以元音或哑音 h 开头的阳性单数名词时的形式)
Pour le nouvel an	过年的时候(pour是介词,此处表时间或对象)
de l'argent	金钱(阳性名词)
Pour le nouvel an, tu as de l'argent hongbao	过年的时候,你有没有钱(红包)?
Des vêtements	“一些衣服”(vêtement 是阳性名词)
Il était une fois	“从前”“很久很久以前”=Once upon a time
longtemps	副词,意思是 “长久地,长时间地”
il y a très longtemps	“很久以前”
vivait	:动词 “vivre”(生活,居住)的第三人称单数未完成过去时变位形式,表示过去持续进行的动作或过去的状态,这里指小女孩过去居住的状态。
une petite fille qui vivait dans un village	一个住在村子里的小女孩(qui:关系代词,引导定语从句)
aimaient	:动词 “aimer”(喜爱,爱)的第三人称复数未完成过去时形式,意为 “她们喜爱” ,表示过去习惯性、持续性的动作,即她的母亲和祖母过去一直很疼爱她。
Sa mère et sa grand-mère l'aimaient beaucoup	她的母亲和祖母非常疼爱她
donner	给(动词)
a donné	动词 “donner”(给)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“donné” 是 “donner” 的过去分词,二者构成现在完成时,表示过去发生并完成的动作
chaperon	:阳性名词,常见意思为 “兜帽” 。
de couleur	:短语,意为 “...... 颜色的” ,“de” 在这里表示性质、特征。(阴性名词)
Un jour, sa grand-mère lui a donné un petit chaperon de couleur rouge	一天,她的祖母给了她一顶红色的小兜帽
allait	:动词 “aller” 的第三人称单数未完成过去时变位。“aller à qn” 有 “适合某人” 的意思 ,这里 “allait” 表示 “适合” 。
si... que	:固定结构,引导结果状语从句,“si” 后接形容词或副词,“que” 引导结果,意为 “如此...... 以至于” 。
monde	世人;众人;人们(阳性名词)
tout le monde	:短语,意为 “所有人,大家” 。
appelait	:动词 “appeler”(称呼,叫)的第三人称单数未完成过去时变位,意为 “称呼,叫” ,表示过去习惯性的动作。
le Petit Chaperon rouge	专有名词 “小红帽” ,首字母大写
Le chaperon lui allait si bien que tout le monde appelait la petite fille le Petit Chaperon rouge	这顶小兜帽她戴着非常合适,以至于大家都叫这个小女孩小红帽
printemps	:阳性名词,意为 “春天” 。
a fait	:“faire”(做,制作)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“fait” 是 “faire” 的过去分词,合起来表示 “做了” 。
a dit	:“dire”(说,讲)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“dit” 是 “dire” 的过去分词,合起来表示 “说了” 。
Un beau matin de printemps, sa mère a fait une galette et lui a dit	在一个美好的春日清晨,她母亲做了一张煎饼,并对她说:
malade	:形容词,意为 “生病的” ,在句中作表语,描述主语 “Grand - mère” 处于生病的状态。
Grand-mère est malade	祖母 / 外祖母生病了
Apporte	:动词 “apporter”(带来,带去)的第二人称单数命令式形式,意为 “带去;拿来” ,表示命令或请求对方做某事。
cette galette	这个煎饼(阴性名词,常见意思为 “煎饼,薄饼” 。)
ce petit pot	这一小罐(阳性名词,常见意思为 “罐子” )
beurre	:阳性名词,常见意思为 “黄油” 。
Apporte-lui cette galette et ce petit pot de beurre	把这个煎饼和这一小罐黄油给她带去
est partie chez sa grand-mère	离开去她祖母家(“partir”(出发,动身)的复合过去时第三人称单数形式,出发这个动作在过去已经完成)
habitait	:动词 “habiter”(居住)的第三人称单数未完成过去时变位形式,表示过去持续的居住状态,即她祖母过去一直居住的状态。
Alors le Petit Chaperon rouge est partie chez sa grand-mère qui habitait un peu loin	于是小红帽出发去了住在有点远地方的祖母家。
Pour aller	:“pour” 是介词,此处表示目的,意为 “为了”;“aller” 是动词原形,意为 “去”,“pour aller” 即 “为了去......” 。
devait	:动词 “devoir” 的第三人称单数未完成过去时形式。“devoir” 常见含义有 “应该;必须”,这里 “devait” 表示小红帽过去必须做某事,带有过去的一种必要性。
traverser	:动词原形,意为 “穿过,穿越”,在句中作 “devoir” 的宾语,即小红帽必须要做的动作。
rencontrer	遇见,碰到(动词)
a rencontré	:“rencontrer”(遇见,碰到)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“rencontré” 是 “rencontrer” 的过去分词,表明小红帽遇到大灰狼这个动作在过去已经完成。
le Loup	:“le” 是定冠词,用于修饰阳性名词;“loup” 是阳性名词,意为 “狼”,“le loup” 即 “狼” 。
Monsieur le Loup	大灰狼先生
Pour aller chez sa grand-mère, le Petit Chaperon rouge devait traverser la forêt et le Petit Chaperon rouge a rencontré Monsieur le Loup	为了去祖母家,小红帽必须穿过森林,并且小红帽遇到了大灰狼先生。
noir	:形容词,意为 “黑色的” ,修饰阳性单数名词时用此形式。
Le loup était tout noir	这只狼全身乌黑。
œil	:阳性名词,意为 “眼睛” ,复数形式为 “yeux” 。
les yeux	:“les” 是定冠词复数形式,“yeux” 是阳性名词 “œil”(眼睛)的复数形式,“les yeux” 即 “眼睛”。
avait l'air	:固定短语,“avoir l'air + 形容词” 表示 “看起来......”,这里 “avait” 同样是 “avoir” 的第三人称单数未完成过去时形式。
méchant	:形容词,意为 “凶恶的,恶意的”,描述狼看起来的样子。
Il avait les yeux jaunes et il avait l'air très méchant	它有着黄色的眼睛,而且看起来十分凶恶。
voulait	:动词 “vouloir”(想要)的第三人称单数未完成过去时形式,表明狼过去的想法,即 “想要”。
comme	:在此处引导原因状语从句,意为 “因为”,说明狼害怕的原因。
bûcherons	:阳性名词 “bûcheron”(伐木工)的复数形式,意为 “伐木工们”。
avait peur	:“avoir peur” 是固定短语,意为 “害怕”,“avait” 是 “avoir” 的第三人称单数未完成过去时形式,此句表示狼过去害怕的状态。
Le loup voulait manger la petite fille mais, comme il y avait des bûcherons, le loup avait peur	这只狼想吃掉这个小女孩,但是,因为有伐木工在,狼感到害怕。
a demandé	:“demander”(询问;要求)的直陈式现在完成时第三人称单数变位形式。“a” 是助动词 “avoir” 的第三人称单数变位,“demandé” 是 “demander” 的过去分词,表明 “询问” 这个动作在过去已经完成。
elle allait	:动词 “aller”(去;走)的第三人称单数未完成过去时变位形式,在从句中表示小红帽过去打算去的动作,“elle allait” 表示 “她要去”。
Il lui a demandé où elle allait	它(狼)问她(小红帽)要去哪里。
savait	:动词 “savoir”(知道)的第三人称单数未完成过去时形式,意为 “知道”,在句中作谓语,表示小女孩过去的认知状态。
dangereux	:形容词,意为 “危险的”,在从句中作表语,描述 “和狼说话” 这一行为的性质。
de parler	:“de” 在这里引导不定式短语,“parler”(说话)是动词原形,“de parler” 表示 “说话” 这一动作,整个 “de parler à un loup” 是真正的主语,即 “和狼说话” 这件事。
La petite fille ne savait pas que c'est dangereux de parler à un loup	小女孩不知道和狼说话是危险的。(que:引导宾语从句,无实际意义)
Elle lui a répondu	她回答了他:
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
Je vais voir ma grand-mère	我要去看望我的祖母 / 外祖母
apporte	:动词 “apporter” 的第一人称单数直陈式现在时变位,意为 “带来;带去”,在句中作谓语,表示 “我” 正在进行的动作。
Je lui apporte une galette et un petit pot de beurre	我给她带一张煎饼和一小罐黄油。
Est-ce que ta grand-mère habite loin d'ici	你祖母住得离这儿远吗??
Oui, c'est très loin	是的,离这儿很远。
dire	说(动词)
dit le loup	:“dit” 是动词 “dire”(说)的第三人称单数直陈式现在时变位,“le loup” 是主语 “狼”,这部分表示 “狼说”,在句中以插入语形式出现,表明话语的发出者。
Eh bien, dit le loup, moi aussi je veux aller voir ta grand-mère	“好吧,” 狼说,“我也想去看望你的祖母。”
ce chemin	这条路(“ce” 是指示代词,意为 “这个” ,修饰阳性名词 “chemin”(路))
Prends ce chemin	你走这条路!(“prendre”(拿;走)的第二人称单数命令式形式,表示命令或请求对方做某事)
l'autre	:“l'” 是定冠词 “le” 与元音开头的 “autre” 的缩合形式,“autre” 作形容词时,意为 “别的,其他的”,“l'autre chemin” 表示 “另一条路” 。
Moi, je prends l'autre chemin	我呢,我走另一条路。
est parti	:“partir”(出发,动身)的复合过去时第三人称单数形式。“est” 是助动词 être 的第三人称单数变位,“parti” 是 “partir” 的过去分词,表明狼 “出发” 这一动作在过去已经完成。
a couru	:“courir”(跑)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“couru” 是 “courir” 的过去分词,表示狼 “跑” 的动作在过去已经完成。
aussi vite que possible	:固定短语,意为 “尽可能快地” 。“aussi... que” 表示 “和...... 一样”,“vite” 是副词,意为 “快地”,“possible” 意为 “可能的”,整体用来修饰动词 “a couru”,描述狼奔跑的速度。
Le loup est parti et a couru aussi vite que possible	狼出发了,并且以最快的速度奔跑
