à	在；向，到；给……prép.
un jean	牛仔裤n.m.
leur	他们的，她们的，它们的
leurs	他们的，她们的，它们的
lui	他，第三人称单数的间接宾语代词
Je parle à lui	（我在和他说话。）
lunettes	眼镜，阴性复数名词
des lunettes	眼镜
noir	黑色的
noire	黑色的n.f.
pantalon	裤子;长裤n.m.
porter un pantalon	穿戴，佩戴v.t.
portrait-robot	模拟画像（警方综合搜捕对象的特征所制的）n.m.
rouge	红色的；红色（阴阳同形）
tee-shirt	短袖圆领棉汗衫n.m.
vêtement	衣服，服装，衣裳
vêtements	衣服
Quelle couleur	什么颜色?
J'aime bien cette couleur	我很喜欢这种颜色
Cent euros pour un tee-shirt	一件T恤一百欧元
C'est cher	这很贵
Elle n'est pas très chère	它不太贵
Elle ne coûte pas très cher	“它花费不多”(cher做副词没有阴阳性变化）
fait	“faire的变位”，il/elle/on（他/她/人们）
faire	动词，意为“做，制造”;“做；干；进行”
Ça fait combien	“这个多少钱？”
coûter	“值（多少钱）；花费（多少钱）”
Combien coûte cette robe	“这条裙子多少钱？”
gris	灰色的、灰白的、花白的
grise	法语单词“gris”的阴性形式
C'est pour toi	“这是给你的”
un pull	一件羊毛套头衫
quantité	“数量；量；大量；许多”
taille	(成衣的）尺寸，尺码n.f.
Quelle est votre taille	“您的尺码是多少？”或者“您的身高是多少？”
Comment est-ce que tu trouves ce pantalon	“你觉得这条裤子怎么样？”
Comment est-ce qu'il trouve Marie	“他觉得玛丽怎么样？”
J'aime bien ce type de pantalon	“我很喜欢这种类型的裤子”
J'adore ce type de sport	“我酷爱这种类型的运动”
vendeur	“售货员，营业员；销售员，推销员”
vendeuse	售货员（阴性）
artiste	艺术家n
le coin	角落，街角n.m
écrivain	“作家；作者n.m.
entre	在。。。之间prep.
entre A et B	在A和B之间
un film	电影，影片n.m.
môme	小孩，小家伙<俗>n.一个通俗用语、略带贬义的名词
musicien	“音乐家；乐师；演奏家”n.m.
musicienne	“musicien”的阴性形式;“女音乐家；女乐师；女演奏家”
peintre	“画家；画师；油漆工”n.m.
poème	“诗；诗篇”
poète	“诗人”
sculpteur	“雕塑家；雕刻家”n
sculptrice	女雕塑家
tableau	名词，意为“黑板；图画；表格”
dans	在……里；处于….prép;在……里prép
trouver	找到;找到，发现v.t.;找到;找到，发现v.t.;“找到；发现”“感到，觉得”
un sculpteur	雕塑家n.m.
une sculptrice	女雕塑家n.f.
Camille Claudel	卡米尔·克劳德尔
un musicien	音乐家n.m.
un poète	诗人n.m.
un écrivain	作家n.m.
Le poète	诗人n.m.
L'écrivain est à gauche dans le tableau.	作家在画中的左边。
à gauche du peintre	在画家的左边。
à droite du sculpteur	在雕塑家的右边。
À côté de Claude Debussy	在克劳德·德彪西的旁边。
moi	我pron.
toi	你pron.
elle	她pron.
vous	你们，您pron.
nous	我们pron.
eux	他们pron.
elles	她们pron.
Ma mère habite avec nous	我妈妈和我们住在一起。
Eux	, ils adorent le football    他们喜欢足球。
C'est pour qui	这是给谁的？
Il y a un bureau avec une chaise ici	这里有一张桌子和一把椅子。
C'est un immeuble récent avec un parking	这是一栋带停车场的新楼。
Où est-ce que le restaurant japonais se trouve	日本餐厅在哪里？
A côté de chez moi	在我家旁边。
Où est-ce que tu vas	你去哪里？（书面、口语）
Où tu vas	你去哪里？（口语）
Où vas-tu	你去哪里？(书面）
Tu vas où	你去哪里？（口语）
Où est-ce que le restaurant se trouve	餐厅在哪里？
Où le restaurant se trouve	餐厅在哪里？
Où le restaurant se trouve-t-il	餐厅在哪里？
Le restaurant se trouve où	餐厅在哪里？
peintre	“画家；画师；油漆工”n.m.; 画家n.m.
lui	他，第三人称单数的间接宾语代词; 他pron.
Vous travaillez chez vous	你们在家工作。
Tu viens avec moi	你和我一起来。
Tu vas où maintenant	你现在去哪里？(口语）
A la bibliothèque	去图书馆。
agence	代理处，代办处n.f.
agence immobilière	房地产代理处n.f.(immobilière为阴性形容词)
ancien	以前的，旧的adj.
ancienne	以前的，从前的adj.
un ancien appartement	以前的公寓n.m.
une ville ancienne	古老的城市n.f.
annonce	启事，告示，布告，公告n.f.
une petite annonce	小广告n.f.
appartement	公寓n.m.
une maison	房子n.f.
ascenseur	电梯n.m.
bout	末端，尽头n.m.
au bout de	在……的尽头
au bout du monde	在世界的尽头
au bout du couloir	在走廊的尽头
bruyant	吵闹的adj.
bruyante	吵闹的adj.
une rue bruyante	吵闹的街道n.f.
un bureau	办公室，写字台n.m.
calme	安静的adj.
une rue calme	安静的街道n.f.
chez	在……家
chez moi	在我家
chez Julie	在朱利家
chez Renault	在雷诺公司
clair	明亮的adj.
une chambre claire	明亮的房间n.f.
couloir	走廊n.m.
douche	淋浴n.f.淋浴设备，莲蓬头
entrée	入口，进入n.f.门厅
étage	楼层n.m.
au rez-de-chaussée	在一楼
au premier étage	在二楼
au deuxième étage	在三楼
au troisième étage	在四楼
en face de	在……对面
En face du parc	在公园对面
Il y a un parking en face du parc	公园对面有一个停车场。
immeuble	大楼n.m.
immobilière	房地产的adj.
immobilier	房地产的adj.阳性
une agence immobilière	房地产代理处n.f.
louer	租用，出租v.t.
louer un appartement	租用一套公寓
mètre	米n.m.
mètre carré	平方米n.m.
mois	月n.m.
placard	壁橱n.m.
le plan	平面图n.m.
une avenue	大街，大道n.f.
la face	（物体的）面n.f.
premier	第一的adj.
première	第一的adj.阴性的
récent	最近的，新的adj.
récente	最近的，新的adj.
le responsable	负责人，主管n.m.
rez-de-chaussée	（建筑物）底层，一楼n.m.
salle de bains	浴室n.f.
les salutations	敬意n.f.pl.(信末用语）
sombre	黑暗的，昏暗的，阴暗的adj.
une chambre sombre	昏暗的房间n.f.
toilettes	卫生间，厕所n.f.pl.
un appartement	一套公寓n.m.
la chambre	卧室n.f.
la salle de bains	浴室n.f.
les toilettes	卫生间，厕所n.f.pl.
la salle à manger	餐厅n.f.
le salon	客厅n.m.
le balcon	阳台n.m.
l'entrée	入口n.f.
Le couloir	走廊n.m.
claire	明亮的,清晰的，清楚的adj.; 明亮的，清晰的adj.
la cuisine	厨房，烹调，烹饪法；菜肴n.f.; 厨房n.f.
cet ami	这位朋友(阳性以元音音素开头的名词前用cet)
cet hôtel	这家旅馆
cet objet	这个物体
ces garçons	这些男孩(复数名词前用ces)
ces étudiants	这些学生(复数名词前用ces)
cette fille	这个女孩(阴性名词前用cette)
ces filles	这些女孩(复数名词前用ces)
ce matin	今天早上(阳性名词前用ce)
ces voitures-là	那些汽车(复数名词前用ces, là表示“那些”)
L'immeuble est au coin de la rue Victor-Hugo et de la rue Michelet	房子在维克多雨果街和米歇尔街的拐角处。
L'appartement est au troisième étage avec ascenseur	公寓在四楼，有电梯。
La cuisine est à gauche de l'entrée	厨房在入口的左边。
En face de la cuisine	在厨房的对面
Vous avez les toilettes et une salle de bains avec une douche	你有一个卫生间和一个带淋浴的浴室。
La chambre est au bout du couloir	卧室在走廊的尽头。
Il y a un lit et un bureau avec une chaise	有一张床和一张带椅子的书桌。
À gauche du couloir	在走廊的左边
Il y a le salon	有客厅。
Vous avez deux placards dans l'appartement	你在公寓里有两个壁橱。
Meilleures salutations	致以最诚挚的问候
Alain Dauger	阿兰·多杰尔
Responsable de l'agence Loca-loisirs  “Loca-loisirs	中介负责人”
une salle vide	空旷的房间n.f.
troisième	第三的adj.num.ord.
cette année	今年(阴性名词前用cette)
ce livre-ci	这本书(阳性名词前用ce, ci表示“这个”)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
C'est un immeuble récent avec un parking	这是一栋带停车场的新楼。; 这是一栋新楼，有停车场。
prendre	拿(原形)
Je prends	我拿
Tu prends	你拿
Il prend	他拿
Elle prend	她拿
Nous prenons	我们拿
Vous prenez	你们拿
Ils prennent	他们拿
Elles prennent	她们拿
Je prends le taxi	我打车
aller	去(原形)
Je vais	我去
Tu vas	你去
Il va	他去
Elle va	她去
Nous allons	我们去
Vous allez	你们去
Ils vont	他们去
Elles vont	她们去
Prenez-vous le bus	你们坐公共汽车吗？
Je vais au cinéma	我去看电影
Excuse-moi	对不起(命令式)
parler	说(原形)
Je parle	我说
Tu parles	你说
Il parle	他说
Elle parle	她说
Nous parlons	我们说
Vous parlez	你们说
Ils parlent	他们说
Elles parlent	她们说
Parle	请你说！(命令式，如果动词是er结尾，去掉er加e)
Parlez	请你们说，请您说！(命令式，如果动词是er结尾，去掉er加ez)
Parlons	让我们一起说吧！(命令式，如果动词是er结尾，去掉er加ons)
entrer	进入(原形)
Tu entres	你进入
nous entrons	我们进入
vous entrez	你们进入
Entrez	请您进！(命令式，如果动词是er结尾，去掉er加ez)
Entrons	让我们一起进入吧！(命令式，如果动词是er结尾，去掉er加ons)
Tu tournes	你转弯
nous tournons	我们转弯
vous tournez	你们转弯
Tourne	请转弯！(命令式，如果动词是er结尾，去掉er加e)
Tournez	请您转弯！(命令式，如果动词是er结尾，去掉er加ez)
Tournons	让我们一起转弯吧！(命令式，如果动词是er结尾，去掉er加ons)
Ne parle pas	不要说(命令式否定式)
N'entrez pas	不要进入(命令式否定式)
Va tout droit	你直走（命令式）
Ne va pas au cinéma	不要去看电影（命令式否定式）
Allons tout droit	我们直走（命令式）
N'allons pas au cinéma	不要去看电影（命令式否定式）
Allez tout droit	你们，您直走（命令式）
N'allez pas au cinéma	您不要去看电影（命令式否定式）
Prends le bus	你坐公共汽车（命令式）
Ne prends pas le train	不要坐火车（命令式否定式）
Prenons le bus	我们坐公共汽车（命令式）
Ne prenons pas le train	我们不要坐火车（命令式否定式）
Prenez le bus	你们坐公共汽车（命令式）
Ne prenez pas le train	你们不要坐火车（命令式否定式）
Parle français s'il te plaît	请你说法语（命令式）
Va à la poste	你去邮局（命令式）
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
tourner	转弯(原形)
Ne tournez pas	不要转弯(命令式否定式)
Vas-y	你去吧（命令式）（加s接元音）
Donnes-en	给我（命令式）(en代表着一些东西)（加s接元音）
Parles-en	说给我（命令式）(en代表着一些东西)（加s接元音）
avoir	有(原形)
Tu as	你有
Aie	请你有！(命令式，不规则)
n'aie pas	不要有！(命令式否定式，不规则)
ayons	让我们一起有吧！(命令式，不规则)
n'ayons pas	让我们不要有！(命令式否定式，不规则)
ayez	请您有！(命令式，不规则)
n'ayez pas	请您不要有！(命令式否定式，不规则)
être	是(原形)
Tu es	你是
Sois	请你是！(命令式，不规则)
ne sois pas	请你不要是！(命令式否定式，不规则)
soyons	让我们一起是吧！(命令式，不规则)
ne soyons pas	让我们不要是！(命令式否定式，不规则)
soyez	请您是！(命令式，不规则)
ne soyez pas	请您不要是！(命令式否定式，不规则)
Aie de la patience	请你有耐心（命令式）
Sois patient	请你是有耐心（命令式）
Soyez courageux	请您是有勇气（命令式）
Tu vas où	你去哪里？（口语）; 你去哪儿？
tourner à droite	向右转。; 右转
Entre	请进！(命令式，如果动词是er结尾，去掉er加e); 请进（命令式）
Je vais au Louvre demain	我明天去卢浮宫。
Elle ouvre le placard et y met la robe	她打开橱柜，把裙子放进去。(y=dans le placard,上文提到的地方，作副代词)
Elle ouvre le placard et met la robe dans le placard	她打开橱柜，把裙子放进橱柜。
Oui, j'y habite	是的，我住在那里。(y=en banlieu,上文提到的地方，作副代词)
Comment est-ce que tu vas à la poste	你怎么去邮局？(est-ce que是疑问句的标志)
J'y vais en bus	我坐公共汽车去。(y=à la poste,上文提到的地方，作副代词)
Il n'y a pas de métro près de chez moi	我家附近没有地铁。(否定句中，ne...pas位于"y+动词"的两边)
Tu vas au cinéma	你去电影院吗？
Non,je n'y vais pas	不，我不去。(y=au cinéma,上文提到的地方，作副代词)
Bonne année	2025  2025年新年快乐
après	以后adv.然后=after
Après vous	您先请
après trois jours	三天以后
arriver	到达vi.
J'arrive au parc en bus	我乘公共汽车到公园
banque	银行nf.
bien sûr	当然
Est-ce que tu aimes le français	你喜欢法语吗？
Oui,bien sûr	是的,当然
le bus	公共汽车nm.
continuer	继续v
continuer à faire qch	继续做某事
continuer à parler	继续说话
direct	直接的adj.
Ayez du courage	请您有勇气（命令式）
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方，作副代词)
Vous habitez en banlieu	你住在郊区吗？
on se parlera après	以后再说（on=我们,se parlera=交谈）
directe	直接的adj.(f.)
droit	笔直地adv.
ensuite	然后adv.接下来
jardin	花园nm.
entrer dans le jardin	进入花园
aller tout droit jusqu'au café	一直走到咖啡馆
jusqu'à	直到prep.（与介词连用，表示时间或空间的限度）
jusqu'aujourd'hui	直到今天
là	那里adv.
une ligne de métro	一条地铁线路
la ligne	4 de métro  地铁4号线
loin	远adv.
C'est très loin	那很远
Le bureau est loin de chez moi	办公室离我家很远
le métro	地铁nm.
l'entrée du métro de Paris	巴黎地铁入口
la moto	摩托车n.f.
musée	博物馆nm.
Le Musée du Louvre	卢浮宫博物馆
Le Musée d'Orsay	奥赛博物馆
opéra	歌剧院nm.
par	通过prep.
Par ici	从这边走
C'est par où	从哪儿走？
Je vous demande pardon	我向您道歉n.m.
passer	经过v.
passer par une banque	经过银行
aller à pied	步行
poste	邮局nf.
la poste	邮局nf.
le bureau de poste	邮局
prendre le métro	搭乘地铁
prendre le bus	搭乘公共汽车
prendre la rue	走这条路
tout	(adv.) 十分，非常，极其，完全=tres
C'est tout rouge	完全红了
travail	工作nm.
J'aime mon travail	我喜欢我的工作
traverser	穿过v.穿越
traverser la rue	穿过这条路
aller au musée à vélo	骑自行车去博物馆(à vélo=骑自行车)
d'abord	首先adv.
enfin	最后adv.
jusque	直到prep.（与介词连用，表示时间或空间的限度）
ligne	线路nf.
le métropolitain	地铁nm.
pied	脚nm.
la place	广场n.f.
rollers	滑轮鞋n.m.pl.
vélo	自行车nm.
en bus	乘公共汽车
en métro	乘地铁
en moto	骑摩托车
en voiture	开车
voiture	汽车nf.
entrer	进入(原形); 进入vi.
C'est par là	从那里走; 从那边走
prendre	拿(原形); 搭乘，选取（道路，路线）vt.
aller tout droit	一直走; 一直走
Pardon,monsieur	对不起，先生
Le musée du Louvre,c'est par où	卢浮宫在哪里？(par=by)
Oh là là	!     哦，天哪！
Vous êtes loir	你离得很远
Prenez le métro	您乘地铁吧（命令式）
Je n'aime pas le métro	我不喜欢地铁
Alors,allez-y en bus ou à vélo	那么，您可以乘公共汽车或骑自行车去
Il y a des Vélib',au coin de la rue	街角有自行车租赁点
Non,non,j'y vais à pied	不，不，我走路去
Alors,passez par là	那么，从那边走
Tournez à gauche dans la rue Auber	在奥贝尔街左转
devant l'Opéra	在歌剧院前
place de l'Opéra	歌剧院广场
Passez devant la poste et la banque et vous arrivez place de l'Opéra	经过邮局和银行，您就到了歌剧院广场
jusqu'au bout	一直走到尽头
Et après	然后呢？
Traversez la rue de Rivoli et entrez dans la cour du Louvre	横穿里沃利街，进入卢浮宫的院子
le jardin des Tuileries	杜伊勒里花园
À droite,vous avez le jardin des Tuileries et à gauche le Louvre	右边是杜伊勒里花园，左边是卢浮宫
L'entrée du musée est sous la Pyramide	博物馆的入口在金字塔下
Les Vélib',c'est où	自行车租赁点在哪里？
sous	在...下面=under; 在...下面
Un vélib	公共自行车
un vélo libre	公共自行车
le boulevard	大道
Traversez le boulevard Haussmann et prenez la rue Scribe en face de vous	横穿奥斯曼大道，然后走对面的斯克里布街
Ensuite,prenez la grande avenue en face et continuez tout droit,jusqu'au bout	然后，走对面的大街，一直走到尽头
la cour	院子n.f.
appeler	叫,称v.
bienvenue	欢迎n.f.
bonjour	你好;早上好int.
nous nous appelons	我们叫v.
Tu t'appelles comment	你叫什么名字?phr.
Vous vous appelez comment	你叫什么名字?phr.
Bonjour, monsieur	早上好,先生phr.
Bonjour, madame	早上好,夫人phr.
Bonjour, mademoiselle	早上好,小姐phr.
Bonsoir	晚上好int.
Salut	你好int.
ce	这个pron.
C'est Julie	这是朱莉phr.
Ce sont Aldo et Julie	这是阿尔多和朱莉phr.
étudiant	学生n.m.
étudiante	学生n.f.
Il est étudiant	他是学生
Elle est étudiante	她是学生
femme	妻子n.f.女人
Voici ma femme	这是我的妻子=C'est ma femme
Voici mon mari	这是我的丈夫=C'est mon mari
homme	男人n.m.
C'est un homme	这是一个男人
Il est français	他是法国人
Elle est française	她是法国人
C'est un Français	这是一个法国人
C'est une Française	这是一个法国女人
italien	意大利人n.m.
italienne	意大利人n.f.
Il est italien	他是意大利人
Elle est italienne	她是意大利人
C'est un Italien	这是一个意大利人
C'est une Italienne	这是一个意大利女人
le Baule	巴乌勒n.m.
ma femme	我的妻子
ma mère	我的母亲
mon mari	我的丈夫
mon père	我的父亲
madame	夫人n.f.
mesdames	夫人们n.f.
monsieur	先生n.m.
messieurs	先生们n.m.
mademoiselle	小姐n.f.
mesdemoiselles	小姐们n.f.
nationalité	国籍n.f.
nom	姓
prénom	名
qui	谁pron.
qui est-ce	这是谁?phr.
Bienvenue à tous	欢迎大家phr.
C'est qui	这是谁?phr.
Qui c'est	这是谁?phr.
voici	这是phr.
Voici Julie	这是朱莉
Voilà Aldo	那是阿尔多
à	在;向,到;给......prép.
ah	啊!唉!interj.
assistante	助理,助手,副手n.
belge	比利时的adj.;比利时人n.Belge(首字母大写)
chinois	中国的adj.;中国人n.(首字母大写)
chinoise	中国的adj.中国人n.(首字母大写)
cours	课,课程n.m.
directrice	经理n.阴性形式
en	在......(指地点)prép.
espagnole	西班牙的adj.;西班牙人(首字母大写)n.
français	法语n.m.
la France	法国n.f.
Genève	日内瓦(瑞士)(首字母大写)
habiter	居住(在)v.
Japon	日本n.m.Japon
japonais	日本的adj.日本人Japonais(n.)
japonaise	日本的adj.日本人Japonaise(n.)
rendez-vous	约会,预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
secrétaire	秘书n.
s'il vous plaît	请,请您,请问loc.
Suisse	瑞士Suisse(n.f)
sympa	(俗)给人好感的,讨人喜欢的adj.inv.
téléphone	电话;电话机n.m
affiche	海报,广告n.f.
C'est une affiche	这是一张海报
assiette	盘子n.f.
C'est une assiette	这是一个盘子
avec	和...一起prep.=with;具有,带有prep
Il parle français avec un accent anglais	他说法语带有英语口音
blouson	夹克衫n.m.
C'est le blouson de Paul	这是保罗的夹克
chaise	椅子n.f.
Il y a une chaise	有一张椅子
chambre	卧室n.f.
Il y a une chaise dans la chambre	房间里有一把椅子。
chapeau	帽子n.m.
C'est un chapeau	这是一顶帽子。
chatte	母猫
le mur	墙
Il y a une chaise contre le mur	墙边有一把椅子。
l'assistant	助理,助手,副手
directeur	经理n.阳性形式
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
Samedi	周六
dix-huit	十八
heure	小时
cour	课程
1 heure de cours	一小时的课程
rester	剩下
Je m'appelle Camille	我叫卡米尔。
quinze	十五
J'ai 15 ans	我15岁。
avril	四月
Mon anniversaire c'est le 2 avril	我的生日是4月2号。
lycéenne	高中生
Je suis lycéenne	我是高中生。
Je suis lycéenne au lycée Ganquan	我在甘泉中学上高中。
Le lycée en France	法国的高中
née	动词 “naître”(出生)的过去分词形式,通常用于女性
J'habite à Shanghaï et j'y suis née	我住在上海,我在那里出生。
shanghaïen	上海话/shang ga yien/
A la maison, on parle le shanghaïen	在家里,我们说上海话。
Je n'aime pas le sport	我不喜欢运动。
peindre	“画;描绘;粉刷”
dessiner	“画,绘制”,尤指用铅笔、钢笔等线条勾勒,与 “peindre”(侧重用颜料画)有所不同
j'aime peindre et dessiner	我喜欢画画。
personnes	人们(复数)
fleurs	花(复数)
J'aime peindre et dessiner des personnes et des fleurs	我喜欢画人和花。
ciné	电影院
cinéma	电影院
J'aime aller au musée et au ciné	我喜欢去博物馆和电影院。
détester	讨厌
maths	数学
Je déteste les maths	我讨厌数学。
physique	物理
Mais j'aime la physique	但我喜欢物理。
Il en reste 15	还剩15个。
anniversaire	生日
janvier	一月
février	二月
mars	三月
mai	五月
juin	六月
juillet	七月
août	八月
septembre	九月
octobre	十月
novembre	十一月
décembre	十二月
lycée	高中
je suis en seconde	我在读高一。
naître	出生
aussi	也
J'aime aussi les cours de français	我也喜欢法语课。
chez moi	在我家
On est	人称代词“on”(我们)的现在时第一人称单数形式
On est six chez moi	我家有六口人。
Ma grand-mère maternelle	我的外祖母。
et mon grand-père paternel	和我的爷爷。
ma grand-mère paternelle	我的奶奶。
ma mère	我的母亲
mon père et moi	我的父亲和我
grand-mère maternelle	外祖母
grand-père maternel	外祖父
grand-mère paternelle	奶奶
grand-père paternel	爷爷
Ma mère a quarante et un ans	我母亲41岁。
Mon père est ingénieur	我父亲是工程师。
Ma mère est informaticienne	我母亲是计算机专家。
Tous les deux travaillent beaucoup	他们两个都工作很忙。
plus	更
Mon père est le plus sévère	我父亲最严格。
Je parle bien anglais	我英语说得很好。
et un peu français	和一点法语。
apprendre	学习
J'apprends le français	我在学法语。
Tu apprends le français	你在学法语。
Il apprend le français	他在学法语。
Elle apprend le français	她在学法语。
Nous apprenons le français	我们在学法语。
Vous apprenez le français	你们在学法语。
Ils apprennent le français	他们在学法语。
parce que	因为(引导原因状语从句)
voudrais	想要(vouloir的条件式第一人称单数形式)
faire	做
études	学习(复数)
J'apprends le français parce que je voudrais faire mes études en France	我在学法语,因为我想在法国学习。
Emmanuel	埃马纽埃尔
Le 8 février	"2月8号"
C'est mon anniversaire	这是我的生日。
soixante-deux	六十二
professeur	教师
J'étais professeur	我是老师。
maternelle	“母亲的”“母性的”
paternelle	“父亲的”“父性的”
ingénieur	工程师(男性)
informaticienne	计算机专家(女性)
tous	所有
Tous les deux	他们两个
sévère	严格
Je vais avoir 62 ans	我62岁了。
étais	是(être的过去式第一人称单数形式)
maintenant	现在
retraite	退休(名词)
et maintenant je suis à la retraite	现在我退休了。
tes	你的(复数)
grands-parents	祖父母
tes grands-parents aussi	你的祖父母也是。
soixante	六十
soixante-dix	七十
quatre-vingts	八十
J'habite à Paris	我住在巴黎。
mois	月(复数)
un mois	一个月
voyagé	旅行(法语动词 “voyager” 的过去分词)
J'ai habité	我曾经住过(过去完成时)
J'ai habité à Shanghaï pendant 11 mois en 2018	"2018年我在上海住了11个月。"
La seconde   高一
La première  高二
Je suis en la seconde  我在读高一。
Elle est en la terminale  她在读高三。
J'ai beaucoup voyagé	我旅行了很多。
voulais	想要(vouloir的过去式第一人称单数形式)
pour	为了(引导目的状语从句)
J'ai des amis en Chine	我在中国有朋友。
La terminale  高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
vais	去(aller的现在式第一人称单数形式)
Je vais	“我将要” “aller + 动词原形” 构成最近将来时,表示即将或打算做某事。
présenter	介绍(动词)
Je vais te présenter le cours	我给你介绍一下这门课。
Pourquoi tu prends des cours avec moi	你为什么跟我上课?
Je ne parle pas très bien français	我的法语说得不太好。
partie	部分(名词)
En deux parties	分两部分
première	第一(形容词)
1ère partie	第一部分
nouvelles	新闻(复数)
les nouvelles	新闻
Tu me dis 2 nouvelles	你告诉我两个新闻。
Je te dis 2 nouvelles	我告诉你两个新闻。
une fois	一次(f)
Cette semaine je suis allé au cinéma 4 fois	这周我去了4次电影院。
roi	国王
Je suis le roi en janvier	我是一月的国王。
un gâteau spécial	一种特别的蛋糕
des	一些(复数)(de + les = des)
la galette des rois	国王蛋糕
En France, en janvier, on mange un gâteau spécial qui s'appelle la galette des rois	在法国,一月份,我们吃一种特别的蛋糕,叫做国王蛋糕。
Tu as déjà mangé de la galette des rois	你吃过国王蛋糕了吗?
dis	告诉(dire的现在式第二人称单数形式)
allée	去(aller的过去分词,女性)
Je suis allée	我去了(aller的过去分词,女性)
fois	次(复数)(名词)(f)
sais	知道(savoir的现在式第二人称单数形式)
Tu sais pourquoi	你知道为什么吗?
on mange	人们吃(第三人称单数)
qui s'appelle la galette des rois	关系从句,用来修饰先行词 “gâteau”。“qui” 是关系代词,在从句中作主语,指代前面的 “gâteau”
galette	蛋糕(通常指一种扁平的饼状食物)
déjà	已经
mangé	吃(manger的过去分词)(与 “as” 一起构成复合过去时,表示 “吃过” 。)
