Je déjeune	我吃午饭。
Le dimanche, elle dort jusqu'à midi	每星期天,她睡到中午。
Elle passe l'après-midi avec des amis ou avec sa famille	她和朋友或家人一起度过下午。
Et le lundi, une nouvelle semaine recommence...	每星期一,新的一周重新开始。
En général, qu'est-ce que vous faites le dimanche matin	每个星期天上午您一般来说都做什么?
Le dimanche matin, je fais d'abord un footing	星期天上午,我先去慢跑
Ensuite, je joue au foot ou au tennis avec des amis	然后,我和朋友们踢足球或打网球
Et l'après-midi, je me repose	下午我休息
Moi, je fais les courses	我去购物
Et ma femme prépare les enfants et elle joue avec eux	我妻子照顾孩子们并和他们玩(eux是重读人称代词,指代孩子们)
Ou alors on part pour la journée	或者我们出去玩一天(pour表示持续时间)
Et on va souvent à la campagne	我们经常去乡下
Ensuite, j'écoute de la musique, je lis ou j'écris à des amis	然后,我听音乐,读书或给朋友写信
Moi, tous les samedis soirs, je vais en boîte et je rentre vers 5 ou 6 heures du matin	我每个星期六晚上去夜总会,早上5点或6点回家
Alors, moi, le dimanche, je dors	星期天我睡觉
Et je me lève à midi	中午12点起床
Ma femme et moi, nous prenons le petit déjeuner vers 9 heures	我和我妻子9点吃早餐(vers表示大约)
Après, on va au marché	然后我们去市场
À midi, nous déjeunons avec nos enfants	中午我们和孩子们一起吃午饭
Chez eux ou chez nous	在他们家或我们家
Le dimanche matin	每个星期天上午
Le dimanche matin, je fais le ménage	每个星期天上午我打扫卫生。
Après, je me lave et je m'habille	然后我洗澡和穿衣服。
