pleasant	令人愉快的，舒适的adj
below	在•••下面（介词）
belt	（皮）带；带子（可数）
bill	账单；钞票，纸币
pay the bill	支付账单
blanket	［C］ 毯子
block	一排房屋；街区（街道中间的区域）；大块 ［C］vt. 阻止
blow	吹；刮风；吹气vt. & vi. （blew,blown）
blow out	吹熄；爆裂
blow off	放出；吹掉
on board	在船（火车、飞机）上
bookstore	书店
booking office	售票处
born	（动词bear 的过去分词）出生/bom/v.
business	生意，事业，商业n.［U,C］
butter	［U］黄油，奶油n.
chemistry	化学n.
experiment	实验【C】
explore something for something	在。。。勘探。。。
fable	寓言【C】
fail	失败，不及格v ---failure 失败（名词）
fair	公平的，合理的；金色的；集市n --fairness 公平（名词）
fall	落下，降落；倒下；跌倒（fell，fallen）vi；秋季【C】=autumn
be famous for	以。。。而著名=be Known as
be Known as	以。。。而著名=be famous for
far	远的（farther，farthest或further，furthest）远地adv
fare	票价；费用【C】the money a passenger on public transportation has to pay.
farm	农场，农庄【C】--farmer
fasten	系；扎 --反义词unfasten
favour	恩惠；好意；帮助（美favor）
do somebody a favour	帮助某人（=help somebody、give somebody a hand）
give somebody a hand	帮助某人
fence	栅栏，围栏，篱笆【C】
festival	节日【C】
figure	体型，外形；数字【C】
finally	最后，最终，=at last，in the end
fire at the enemy	向敌人开火
firemen	消防队员的复数
firework	焰火
fish	鱼【C】（复数：fish或fishes）鱼肉【U】；钓鱼，捕鱼vi vt
fit	使适合，与。。。相配（fit，fit或fitted，fitted）；健康的，适合的
flash	闪光；转瞬间【C】
fly	飞行；乘飞机旅行；旗帜等飘动vi；放（风筝等）vt（flew，flown）；飞行；苍蝇（复数：flies）
following	下列的，接着的，以下的
be fond of	爱好（=be keen on、be interested in）
be keen on	爱好
be interested in	爱好
fool	傻子【C】愚弄，欺骗vt  --foolish 愚蠢的
care for	照顾；喜欢
for free	免费
for the time being	暂时，眼下
get ready for	为。。。做准备=prepare for
go in for	参加；从事于；酷爱I’ve never gone in for spending all day at the beach.
leave for	动身去
stand for	代表
take a message for somebody	给某人捎个口信
forecast	预告，预报【C】，vt
foreign	外国的adj --foreigner
foreigner	外国人
increase	增加n vt vi
industries	工业产业的复数
influence in	干涉，介入
instruction	指令，命令，指示，教导；用法说明【C】
inventor	发明家【C】 --invent
investigate	调查vt
traffic jams	交通堵塞
journalist	记者，新闻工作者【C】
judge	裁判；审判员；法官n；审判；断定vt
just now	刚才
just then	就在那时
keep a dog	养一只狗=raise a dog
kid	开玩笑vi（kidded）；小孩【C】
knock	敲门，打，击【U】vi
Knock at the door	敲门
in the lake	在湖中
lantern	灯笼【C】
lecturer	演讲者，讲师 --lecture【C】讲座，演讲
librarian	图书管理员【C】 --library图书馆，图书室
lie	谎言；说谎v，【C】（lied，lied）；躺；卧；位于vi（lay，lain）
lives	生命的复数
lift	举起vt；电梯【C】--elevator
litter	废物，垃圾【U】乱丢杂物vt vi
locate	坐落于；确定。。。的地方vt --location
